,cast,directors,genres,movie_id,original_title,plot,writers
0,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",,"['Action', 'Adventure', 'Fantasy']",19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. ",
1,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",,"['Adventure', 'Fantasy', 'Action']",285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems. ",
2,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",,"['Action', 'Adventure', 'Crime']",206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE. ",
3,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",,"['Action', 'Crime', 'Drama']",49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. ",
4,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",,"['Action', 'Adventure', 'Science Fiction']",49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands. ",
5,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",,"['Fantasy', 'Action', 'Adventure']",559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. ",
6,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",,"['Animation', 'Family']",38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. ",
7,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",,"['Action', 'Adventure', 'Science Fiction']",99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. ",
8,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",,"['Adventure', 'Fantasy', 'Family']",767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. ",
9,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",,"['Action', 'Adventure', 'Fantasy']",209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. ",
10,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",,"['Adventure', 'Fantasy', 'Action']",1452,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel. ",
11,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",,"['Adventure', 'Action', 'Thriller']",10764,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined. ",
12,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",,"['Adventure', 'Fantasy', 'Action']",58,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation. ",
13,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",,"['Action', 'Adventure', 'Western']",57201,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice. ",
